URL: /
TimeStamp: Mon Jul 22 2024 09:31:51 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
TimeStamp: Mon Jul 22 2024 09:31:51 GMT-0400 (Eastern Daylight Time)

URL: /documentation
TimeStamp: Mon Jul 22 2024 09:32:35 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
TimeStamp: Mon Jul 22 2024 09:32:35 GMT-0400 (Eastern Daylight Time)

URL: /biggroossdocumentation
TimeStamp: Mon Jul 22 2024 09:32:48 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
TimeStamp: Mon Jul 22 2024 09:32:48 GMT-0400 (Eastern Daylight Time)

URL: /biggroossdocumentatio
TimeStamp: Mon Jul 22 2024 09:33:03 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
TimeStamp: Mon Jul 22 2024 09:33:03 GMT-0400 (Eastern Daylight Time)

URL: /
TimeStamp: Mon Jul 22 2024 09:33:10 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
TimeStamp: Mon Jul 22 2024 09:33:10 GMT-0400 (Eastern Daylight Time)

URL: /biggroossdocumentation
TimeStamp: Mon Jul 22 2024 10:08:37 GMT-0400 (Eastern Daylight Time)

URL: /favicon.ico
TimeStamp: Mon Jul 22 2024 10:08:37 GMT-0400 (Eastern Daylight Time)

::1 - - [25/Jul/2024:12:11:41 +0000] "GET / HTTP/1.1" 200 18 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
::1 - - [25/Jul/2024:12:11:42 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
::1 - - [25/Jul/2024:12:11:47 +0000] "GET /movies HTTP/1.1" 200 383 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
::1 - - [25/Jul/2024:12:15:55 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
::1 - - [25/Jul/2024:12:16:16 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
::1 - - [25/Jul/2024:12:16:36 +0000] "GET /movies HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
::1 - - [25/Jul/2024:12:22:12 +0000] "GET /movies HTTP/1.1" 200 383 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:43:46 +0000] "GET /movies HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:44:41 +0000] "GET /movies HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:44:42 +0000] "GET /movies HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:44:48 +0000] "GET /movies HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:44:57 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:45:06 +0000] "GET /documentation.html' HTTP/1.1" 404 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:45:10 +0000] "GET /documentation.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:46:26 +0000] "GET /movies HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:47:31 +0000] "GET /movies HTTP/1.1" 200 - "-" "PostmanRuntime/7.40.0"
::1 - - [30/Jul/2024:14:51:50 +0000] "GET /movies HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
::1 - - [30/Jul/2024:14:51:52 +0000] "GET /movies HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"
